cust_id,lookalikes
C0001,"[('C0137', np.float64(0.012)), ('C0152', np.float64(0.017)), ('C0056', np.float64(0.093))]"
C0002,"[('C0029', np.float64(0.042)), ('C0199', np.float64(0.063)), ('C0031', np.float64(0.078))]"
C0003,"[('C0178', np.float64(0.009)), ('C0035', np.float64(0.075)), ('C0146', np.float64(0.084))]"
C0004,"[('C0021', np.float64(0.035)), ('C0101', np.float64(0.107)), ('C0145', np.float64(0.226))]"
C0005,"[('C0073', np.float64(0.014)), ('C0159', np.float64(0.021)), ('C0112', np.float64(0.041))]"
C0006,"[('C0079', np.float64(0.013)), ('C0117', np.float64(0.108)), ('C0158', np.float64(0.278))]"
C0007,"[('C0085', np.float64(0.01)), ('C0120', np.float64(0.06)), ('C0042', np.float64(0.096))]"
C0008,"[('C0084', np.float64(0.461)), ('C0093', np.float64(0.716)), ('C0109', np.float64(0.8))]"
C0009,"[('C0077', np.float64(0.032)), ('C0032', np.float64(0.121)), ('C0043', np.float64(0.128))]"
C0010,"[('C0029', np.float64(0.037)), ('C0025', np.float64(0.069)), ('C0002', np.float64(0.079))]"
C0011,"[('C0107', np.float64(0.058)), ('C0183', np.float64(0.065)), ('C0048', np.float64(0.066))]"
C0012,"[('C0155', np.float64(0.08)), ('C0122', np.float64(0.086)), ('C0108', np.float64(0.208))]"
C0013,"[('C0045', np.float64(0.012)), ('C0143', np.float64(0.024)), ('C0041', np.float64(0.081))]"
C0014,"[('C0058', np.float64(0.042)), ('C0151', np.float64(0.051)), ('C0097', np.float64(0.098))]"
C0015,"[('C0095', np.float64(0.069)), ('C0144', np.float64(0.08)), ('C0063', np.float64(0.12))]"
C0016,"[('C0048', np.float64(0.013)), ('C0183', np.float64(0.013)), ('C0011', np.float64(0.078))]"
C0017,"[('C0162', np.float64(0.026)), ('C0113', np.float64(0.032)), ('C0004', np.float64(0.327))]"
C0018,"[('C0200', np.float64(0.013)), ('C0170', np.float64(0.081)), ('C0187', np.float64(0.092))]"
C0019,"[('C0172', np.float64(0.009)), ('C0116', np.float64(0.311)), ('C0088', np.float64(0.452))]"
C0020,"[('C0110', np.float64(0.011)), ('C0078', np.float64(0.04)), ('C0080', np.float64(0.046))]"
